mode,s,s_token,s_api,file,N_overlap,F1_base,F1_pert,DeltaF1,IS,IS_correct,threshold
both,,0.2,0.2,pred_FFMPeg+Qemu_both_s020x020.jsonl,2224,0.8616,0.7968,0.0647,0.9132,0.9191,0.5
both,,0.2,0.4,pred_FFMPeg+Qemu_both_s020x040.jsonl,2205,0.8616,0.8063,0.0552,0.9175,0.9264,0.5
both,,0.2,0.6,pred_FFMPeg+Qemu_both_s020x060.jsonl,2197,0.8616,0.7752,0.0864,0.8944,0.9004,0.5
both,,0.2,0.8,pred_FFMPeg+Qemu_both_s020x080.jsonl,2176,0.8616,0.789,0.0726,0.9053,0.9114,0.5
both,,0.2,1.0,pred_FFMPeg+Qemu_both_s020x100.jsonl,2180,0.8616,0.7561,0.1055,0.8771,0.8821,0.5
both,,0.4,0.2,pred_FFMPeg+Qemu_both_s040x020.jsonl,2228,0.8616,0.7984,0.0632,0.8954,0.9077,0.5
both,,0.4,0.4,pred_FFMPeg+Qemu_both_s040x040.jsonl,2248,0.8616,0.8008,0.0607,0.8968,0.9104,0.5
both,,0.4,0.6,pred_FFMPeg+Qemu_both_s040x060.jsonl,2249,0.8616,0.7732,0.0884,0.8759,0.8837,0.5
both,,0.4,0.8,pred_FFMPeg+Qemu_both_s040x080.jsonl,2261,0.8616,0.7565,0.1051,0.8638,0.8709,0.5
both,,0.4,1.0,pred_FFMPeg+Qemu_both_s040x100.jsonl,2238,0.8616,0.7563,0.1052,0.861,0.8692,0.5
both,,0.6,0.2,pred_FFMPeg+Qemu_both_s060x020.jsonl,2266,0.8616,0.7844,0.0772,0.8711,0.8864,0.5
both,,0.6,0.4,pred_FFMPeg+Qemu_both_s060x040.jsonl,2280,0.8616,0.7779,0.0836,0.8697,0.8815,0.5
both,,0.6,0.6,pred_FFMPeg+Qemu_both_s060x060.jsonl,2254,0.8616,0.7462,0.1154,0.8381,0.8495,0.5
both,,0.6,0.8,pred_FFMPeg+Qemu_both_s060x080.jsonl,2269,0.8616,0.7436,0.118,0.8418,0.8501,0.5
both,,0.6,1.0,pred_FFMPeg+Qemu_both_s060x100.jsonl,2277,0.8616,0.7417,0.1199,0.8362,0.8454,0.5
both,,0.8,0.2,pred_FFMPeg+Qemu_both_s080x020.jsonl,2319,0.8616,0.7804,0.0811,0.856,0.8738,0.5
both,,0.8,0.4,pred_FFMPeg+Qemu_both_s080x040.jsonl,2312,0.8616,0.7981,0.0635,0.8651,0.8861,0.5
both,,0.8,0.6,pred_FFMPeg+Qemu_both_s080x060.jsonl,2319,0.8616,0.7597,0.1019,0.837,0.8533,0.5
both,,0.8,0.8,pred_FFMPeg+Qemu_both_s080x080.jsonl,2318,0.8616,0.7539,0.1077,0.8287,0.8473,0.5
both,,0.8,1.0,pred_FFMPeg+Qemu_both_s080x100.jsonl,2308,0.8616,0.7422,0.1194,0.8172,0.8332,0.5
both,,1.0,0.2,pred_FFMPeg+Qemu_both_s100x020.jsonl,2376,0.8616,0.7609,0.1007,0.8245,0.8428,0.5
both,,1.0,0.4,pred_FFMPeg+Qemu_both_s100x040.jsonl,2359,0.8616,0.7782,0.0833,0.8376,0.8596,0.5
both,,1.0,0.6,pred_FFMPeg+Qemu_both_s100x060.jsonl,2367,0.8616,0.756,0.1056,0.8175,0.8371,0.5
both,,1.0,0.8,pred_FFMPeg+Qemu_both_s100x080.jsonl,2374,0.8616,0.7485,0.1131,0.8088,0.8297,0.5
both,,1.0,1.0,pred_FFMPeg+Qemu_both_s100x100.jsonl,2359,0.8616,0.7307,0.1309,0.7974,0.8173,0.5
